Lokalitet,ID,Lab-ID,BP,Kalibrert,DeltaC13,Referanse
Anders Madsens gate,1224,Beta-418506,930 ± 30,1032 – 1203 evt.,-26.2,Halvorsen2019
Baglergaten 2,PA1204,Beta-455700,960 ± 30,1025 – 1160 evt.,-24.5,Haugesten2017 
Baglergaten 2,PK1555,Beta-455701,2830 ± 30,1107 – 904 fvt.,-26.5,Haugesten2017 
Baglergaten 2,PK1962,Beta-484347,1040 ± 30,896 – 1114 evt.,-24.4,Haugesten2021c
Baglergaten 2,PA5215,Beta-484348,760 ± 30,1222 – 1285 evt.,-25.8,Haugesten2021c 
Baglergaten 2,PA6006,Beta-484349,880 ± 30,1045 – 1228 evt.,-25.2,Haugesten2021c 
Baglergaten 2,PA6279,Beta-484350,940 ± 30,1028 – 1172 evt.,-28.7,Haugesten2021c 
Baglergaten 2,PA6628,Beta-484351,930 ± 30,1032 – 1203 evt.,-24.8,Haugesten2021c 
Baglergaten 2,PA6774,Beta-484352,960 ± 30,1025 – 1160 evt.,-27.6,Haugesten2021c 
Baglergaten 2/4,TS2263,T-4224A,1220 ± 40,676 – 940 evt.,-26.1,Brendalsmo1986a,Brendalsmo1989,Eriksson1990a
Baglergaten 2/4,TS4721,T-4725A,1020 ± 100,774 – 1222 evt.,-30.6,Brendalsmo1986a,Brendalsmo1989,Eriksson1990a 
Baglergaten 2/4,TS4789,T-4726A,1190 ± 60,681 – 990 evt.,-29.9,Brendalsmo1986a,Brendalsmo1989,Eriksson1990a 
Baglergaten 2/4,TS2522,T-4727,580 ± 40,1300 – 1425 evt.,-19.6,Brendalsmo1986a,Brendalsmo1989,Eriksson1990a 
Baglergaten 2/4,TS2226,T-4728,2990 ± 90,1434 – 938 fvt.,-26.1,Brendalsmo1986a,Brendalsmo1989,Eriksson1990a 
Conradis gate,P400175,FTMC-BC99-10,754 ± 28,1225 – 1287 evt.,Halvorsen2023
Conradis gate,SL400179,FTMC-BC99-11,596 ± 28,1302 – 1409 evt.,Halvorsen2023 
Conradis gate,P400183,FTMC-BC99-12,942 ± 28,1030 – 1165 evt.,Halvorsen2023 
Conradis gate,P400186,FTMC-BC99-13,700 ± 28,1269 – 1386 evt.,Halvorsen2023 
Conradis gate,P400198,FTMC-BC99-14,486 ± 28,1407 – 1452 evt.,Halvorsen2023 
Conradis gate,P400188,FTMC-BC99-15,841 ± 28,1163 – 1265 evt.,Halvorsen2023 
Conradis gate,P400189,FTMC-BC99-16,828 ± 28,1171 – 1269 evt.,Halvorsen2023 
Conradis gate,P400190,FTMC-BC99-17,876 ± 30,1046 – 1257 evt.,Halvorsen2023 
Conradis gate,P400194,FTMC-BC99-18,799 ± 28,1213 – 1279 evt.,Halvorsen2023 
Conradis gate,P400216,FTMC-BC99-19,610 ± 28,1300 – 1403 evt.,Halvorsen2023 
Conradis gate,P400218,FTMC-BC99-20,713 ± 27,1264 – 1384 evt.,Halvorsen2023 
Conradis gate,P400202,FTMC-BC99-21,813 ± 29,1176 – 1275 evt.,Halvorsen2023 
Conradis gate,P400206,FTMC-BC99-22,698 ± 30,1269 – 1388 evt.,Halvorsen2023 
Conradis gate,P400210,FTMC-BC99-23,152 ± 28,1666 – 1950 evt.,Halvorsen2023 
Conradis gate,P400169,FTMC-BC99-7,860 ± 27,1053 – 1261 evt.,Halvorsen2023 
Conradis gate,P400171,FTMC-BC99-8,864 ± 28,1052 – 1260 evt.,Halvorsen2023 
Conradis gate,P400173,FTMC-BC99-9,802 ± 28,1181 – 1278 evt.,Halvorsen2023 
Farmannstorvet,19977,UBA-44044,691 ± 22,1275 – 1385 evt.,Halvorsen2020
Foyn kjøpesenter,PM1019,Beta-465529,870 ± 30,1047 – 1261 evt.,-23.9,Haugesten2018a
Foyn kjøpesenter,PK1107,Beta-465530,960 ± 30,1025 – 1160 evt.,-24.2,Haugesten2018a
Gierløw Meyers gate,P1,Beta-488686,840 ± 30,1162 – 1267 evt.,-25.2,Halvorsen2018
Gierløw Meyers gate,7233,UBA-42893,547 ± 33,1317 – 1437 evt.,Haugesten2021d 
Gierløw Meyers gate,P7493,UBA-42894,641 ± 25,1286 – 1396 evt.,Haugesten2021d 
Gierløw Meyers gate,P7525,UBA-42895,1180 ± 23,772 – 948 evt.,Haugesten2021d 
Gierløw Meyers gate 1,6211,UBA-42888,675 ± 23,1278 – 1388 evt.,Haugesten2021d
Gierløw Meyers gate 1,6259,UBA-42889,894 ± 29,1044 – 1220 evt.,Haugesten2021d 
Gierløw Meyers gate 1,P6371,UBA-42890,912 ± 26,1040 – 1212 evt.,Haugesten2021d
Gierløw Meyers gate 1,P5270,UBA-42891,875 ± 24,1050 – 1225 evt.,Haugesten2021d
Haugar,VF5783,T-9029,315 ± 60,1448 – 1797 evt.,-26.1,
Haugar,Tua-1016,1140 ± 70,692 – 1027 evt.,-30.1,Gansum2013
Haugar,Tua-975,1205 ± 60,675 – 977 evt.,-26.1,Gansum2013
Haugar,Tua-976,1175 ± 65,681 – 994 evt.,-29.8,Gansum2013
Haugar,F502,Beta-361405,1130 ± 30,774 – 994 evt.,-23.4,Gansum2013
Haugar,F505,Beta-361406,1220 ± 30,687 – 888 evt.,-27.0,Gansum2013
Haugar,F521,Beta-361407,1080 ± 30,892 – 1023 evt.,-21.8,Gansum2013
Haugar,F100004,Beta-361408,1110 ± 30,882 – 1015 evt.,-21.7,Gansum2013
Haugar,F509,Beta-362247,1120 ± 30,774 – 995 evt.,-24.9,Gansum2013 
Haugar,F518,Beta-362248,1290 ± 30,660 – 776 evt.,-24.5,Gansum2013
Kammegaten 10,TT1639,T-4717,870 ± 80,1027 – 1277 evt.,-26.1,Brendalsmo1989
Kammegaten 10/11,TT1240,T-4223,1120 ± 50,773 – 1023 evt.,-26.1,Brendalsmo1989
Klostergaten,P400157,FTMC-BC99-4,1521 ± 28,436 – 636 evt.,Halvorsen2023 
Klostergaten,P400165,FTMC-BC99-5,252 ± 28,1522 – 1800 evt.,Halvorsen2023
Klostergaten,P400166,FTMC-BC99-6,156 ± 28,1665 – 1950 evt.,Halvorsen2023
Mikaelskirken,P1,Beta-485329,610 ± 30,1299 – 1404 evt.,-23.9,Halvorsen2021b
Mikaelskirken,HBP2,Beta-501803,840 ± 30,1162 – 1267 evt.,-20.5,Halvorsen2021b
Mikaelskirken,HBP1,Beta-501804,960 ± 30,1025 – 1160 evt.,-19.9,Halvorsen2021b
Møllegaten 1,1015,Beta-473284,980 ± 30,995 – 1158 evt.,-24.0,Haugesten2018b 
Møllegaten 1,1044,Beta-473285,940 ± 30,1028 – 1172 evt.,-28.1,Haugesten2018b 
Møllegaten 1,1061,Beta-473286,740 ± 30,1225 – 1299 evt.,-25.3,Haugesten2018b
Møllegaten 3A,1,FTMC-K160-1,753 ± 29,1224 – 1288 evt.,Bergland2023
Møllegaten/Øvre Langgate 48,TX2400,T-6729,970 ± 80,893 – 1227 evt.,-26.1,Brendalsmo1986b
Nedre Langgate 33,20435,UBA-44420,296 ± 17,1517 – 1650 evt.,Haugesten2020
Nedre Langgate 33,20436,UBA-44421,658 ± 22,1284 – 1390 evt.,Haugesten2020
Nedre Langgate/Anders Madsens gate,1,FTMC-WO-49-1,577 ± 27,1307 – 1420 evt.,Bergland2024
Nordbyen 28,14062,UBA-44171,4629 ± 28,3514 – 3356 fvt.,Haugesten2021b
Nordbyen 36,BP2,UBA-44816,927 ± 21,1036 – 1171 evt.,Halvorsen2021b 
Prestegaten,PK1585,FTMC-AB24-1,662 ± 29,1279 – 1393 evt.,Upublisert 
Prestegaten,PK3813,FTMC-AB24-2,781 ± 30,1219 – 1280 evt.,Upublisert 
Prestegaten,PK3651,FTMC-AB24-3,810 ± 28,1179 – 1275 evt.,Upublisert 
Prestegaten,PK5434,FTMC-KL28-1,856 ± 32,1052 – 1265 evt.,Upublisert 
Prestegaten,PK4041,FTMC-KL28-2,606 ± 31,1300 – 1405 evt.,Upublisert 
Prestegaten,PK9967,FTMC-KL28-3,887 ± 31,1044 – 1224 evt.,Upublisert 
Prestegaten,PK10066,FTMC-KL28-4,956 ± 31,1026 – 1161 evt.,Upublisert 
Prestegaten,PK13188,FTMC-KL28-5,982 ± 31,995 – 1158 evt.,Upublisert 
Prestegaten,PK32181,FTMC-KL28-6,824 ± 31,1172 – 1271 evt.,Upublisert 
Prestegaten,PK31270,FTMC-KL28-8,811 ± 31,1176 – 1276 evt.,Upublisert 
Prestegaten,PK31135,FTMC-KL28-9,672 ± 32,1276 – 1394 evt.,Upublisert 
Prestegaten,PK34471,FTMC-KL28-10,871 ± 32,1047 – 1261 evt.,Upublisert 
Prestegaten,PK33262,FTMC-KL28-11,1280 ± 33,661 – 824 evt.,Upublisert 
Prestegaten,PK21238,FTMC-SI57-1,829 ± 30,1167 – 1269 evt.,Upublisert 
Prestegaten,PK21091,FTMC-SI57-2,743 ± 31,1225 – 1297 evt.,Upublisert 
Prestegaten,PK16900,FTMC-UC72-1,1278 ± 29,663 – 820 evt.,Upublisert 
Prestegaten,PK16902,FTMC-UC72-2,937 ± 29,1030 – 1173 evt.,Upublisert 
Prestegaten,PK16935,FTMC-UC72-3,908 ± 29,1041 – 1215 evt.,Upublisert 
Prestegaten,PK30102,FTMC-UC72-4,594 ± 29,1301 – 1410 evt.,Upublisert 
Prestegaten,PK35051,FTMC-UC72-5,886 ± 29,1045 – 1224 evt.,Upublisert 
Prestegaten,PK35109,FTMC-UC72-6,898 ± 29,1043 – 1219 evt.,Upublisert 
Prestegaten,PK35111,FTMC-UC72-7,957 ± 29,1027 – 1159 evt.,Upublisert 
Prestegaten,PK35112,FTMC-UC72-8,898 ± 29,1043 – 1219 evt.,Upublisert 
Prestegaten,PK35131,FTMC-UC72-9,929 ± 29,1033 – 1201 evt.,Upublisert 
Prestegaten,PK37721,FTMC-UC72-10,838 ± 29,1165 – 1265 evt.,Upublisert 
Prestegaten,PK37733,FTMC-UC72-11,851 ± 29,1055 – 1266 evt.,Upublisert 
Prestegaten,PK37924,FTMC-UC72-12,856 ± 29,1053 – 1264 evt.,Upublisert 
Prestegaten,PK38586,FTMC-UC72-13,838 ± 29,1165 – 1265 evt.,Upublisert 
Prestegaten,PK38592,FTMC-UC72-14,869 ± 29,1049 – 1261 evt.,Upublisert 
Prestegaten,PK38593,FTMC-UC72-15,773 ± 30,1221 – 1282 evt.,Upublisert 
Prestegaten,PK38832,FTMC-UC72-16,769 ± 28,1223 – 1281 evt.,Upublisert 
Rådhusgaten 4,PA12387,UBA-44045,369 ± 30,1450 – 1635 evt.,Haugesten2021c
Rådhusgaten 4,PA12388,UBA-44046,940 ± 21,1035 – 1160 evt.,Haugesten2021c
Rådhusgaten 4,PA12389,UBA-44047,809 ± 21,1216 – 1272 evt.,Haugesten2021c
Rådhusgaten,nedre,802502,UBA-45261,30 ± 19,1700 – 1909 evt.,Haugesten2022b
Rådhusgaten,nedre,13792,UBA-45262,542 ± 20,1326 – 1429 evt.,Haugesten2022b 
Rådhusgaten,nedre,15781,UBA-45263,820 ± 20,1179 – 1270 evt.,Haugesten2022b 
Rådhusgaten,nedre,16476,UBA-45264,768 ± 22,1225 – 1280 evt.,Haugesten2022b 
Rådhusgaten,nedre,16113,UBA-45265,870 ± 26,1050 – 1256 evt.,Haugesten2022b 
Rådhusgaten,nedre,13821,UBA-45266,152 ± 22,1667 – 1950 evt.,Haugesten2022b 
Rådhusgaten,nedre,15818,UBA-45267,895 ± 22,1046 – 1219 evt.,Haugesten2022b 
Rådhusgaten,nedre,15778,UBA-45268,900 ± 22,1045 – 1218 evt.,Haugesten2022b 
Rådhusgaten,nedre,15739,UBA-45269,757 ± 19,1228 – 1284 evt.,-21.3,Haugesten2022b 
Rådhusgaten,øvre,PK11218,FTMC-JJ31-1,751 ± 30,1224 – 1290 evt.,Bergland2025
Rådhusgaten,øvre,PK6828,FTMC-JJ31-2,757 ± 30,1223 – 1287 evt.,Bergland2025 
Rådhusgaten,øvre,PK5551,FTMC-JJ31-3,1136 ± 29,774 – 993 evt.,Bergland2025 
Rådhusgaten,øvre,PK11262,FTMC-JJ31-4,838 ± 30,1164 – 1266 evt.,Bergland2025 
Rådhusgaten,øvre,PK403933,FTMC-JJ31-5,773 ± 30,1221 – 1282 evt.,Bergland2025 
Rådhusgaten,øvre,PK400201,FTMC-JJ31-6,810 ± 30,1178 – 1276 evt.,Bergland2025 
Rådhusgaten,øvre,PK1870,FTMC-JJ31-7,763 ± 30,1222 – 1285 evt.,Bergland2025 
Rådhusgaten,øvre,PK7878,FTMC-JJ31-8,796 ± 29,1213 – 1279 evt.,Bergland2025 
Rådhusgaten,øvre,PK7959,FTMC-JJ31-9,912 ± 29,1040 – 1212 evt.,Bergland2025 
Rådhusgaten,øvre,PK5317,FTMC-IT83-1,928 ± 29,1033 – 1202 evt.,Bergland2025 
Rådhusgaten,øvre,PK1308,FTMC-IT83-2,995 ± 30,992 – 1154 evt.,Bergland2025 
Rådhusgaten,øvre,PK4543,FTMC-NB12-1,743 ± 29,1226 – 1296 evt.,Bergland2025 
Rådhusgaten,øvre,PK8654,FTMC-NB12-2,765 ± 29,1223 – 1283 evt.,Bergland2025 
Rådhusgaten,øvre,PK9013,FTMC-NB12-3,810 ± 29,1179 – 1275 evt.,Bergland2025 
Rådhusgaten,øvre,PK9314,FTMC-NB12-4,777 ± 29,1220 – 1280 evt.,Bergland2025 
Rådhusgaten,øvre,PK9320,FTMC-NB12-5,877 ± 29,1046 – 1255 evt.,Bergland2025 
Rådhusgaten,øvre,PK9753,FTMC-NB12-6,611 ± 29,1299 – 1403 evt.,Bergland2025 
Rådhusgaten,øvre,PK10015,FTMC-NB12-7,887 ± 29,1045 – 1224 evt.,Bergland2025 
Rådhusgaten,øvre,PB403724,FTMC-NB12-8,903 ± 29,1042 – 1218 evt.,Bergland2025 
Rådhusgaten,øvre,PB403725,FTMC-NB12-9,693 ± 29,1271 – 1388 evt.,Bergland2025 
Rådhusgaten,øvre,PD10076,FTMC-WW97-1,819 ± 30,1175 – 1273 evt.,Bergland2025 
Rådhusgaten,øvre,PD11973,FTMC-WW97-2,966 ± 29,1024 – 1158 evt.,Bergland2025 
Rådhusgaten,øvre,PD12245,FTMC-WW97-3,997 ± 28,992 – 1154 evt.,Bergland2025 
Rådhusgaten,øvre,PD12249,FTMC-WW97-4,855 ± 29,1053 – 1264 evt.,Bergland2025 
Rådhusgaten,øvre,PD1757,FTMC-WW97-5,732 ± 30,1227 – 1378 evt.,Bergland2025 
Rådhusgaten,øvre,PD1758,FTMC-WW97-6,769 ± 29,1222 – 1282 evt.,Bergland2025 
Rådhusgaten,øvre,PD2184,FTMC-WW97-7,920 ± 29,1036 – 1209 evt.,Bergland2025 
Rådhusgaten,øvre,PD3236,FTMC-WW97-8,921 ± 30,1035 – 1208 evt.,Bergland2025 
Rådhusgaten,øvre,PD3274,FTMC-WW97-9,919 ± 29,1036 – 1209 evt.,Bergland2025 
Rådhusgaten,øvre,PD6204,FTMC-WW97-10,777 ± 31,1220 – 1280 evt.,Bergland2025 
Rådhusgaten,øvre,PD8032,FTMC-WW97-11,772 ± 30,1221 – 1282 evt.,Bergland2025 
Rådhusgaten,øvre,PK11165,FTMC-WW97-12,850 ± 29,1157 – 1266 evt.,Bergland2025 
Rådhusgaten,øvre,PK1120,FTMC-WW97-13,858 ± 29,1053 – 1263 evt.,Bergland2025 
Rådhusgaten,øvre,PK1206,FTMC-WW97-14,902 ± 30,1042 – 1218 evt.,Bergland2025 
Rådhusgaten,øvre,PK1207,FTMC-WW97-15,866 ± 28,1051 – 1261 evt.,Bergland2025 
Rådhusgaten,øvre,PK2579,FTMC-WW97-16,854 ± 29,1053 – 1265 evt.,Bergland2025 
Rådhusgaten,øvre,PK4409,FTMC-WW97-17,768 ± 29,1223 – 1282 evt.,Bergland2025 
Rådhusgaten,øvre,PK4444,FTMC-WW97-18,836 ± 29,1166 – 1266 evt.,Bergland2025 
Rådhusgaten,øvre,PK4640,FTMC-WW97-19,823 ± 28,1175 – 1271 evt.,Bergland2025 
Rådhusgaten,øvre,PK5127,FTMC-WW97-20,898 ± 29,1043 – 1219 evt.,Bergland2025 
Rådhusgaten,øvre,PK5169,FTMC-WW97-21,844 ± 28,1161 – 1265 evt.,Bergland2025 
Rådhusgaten,øvre,PK6784,FTMC-WW97-22,760 ± 30,1222 – 1285 evt.,Bergland2025 
Slottsfjellet,Slottsfjellet 1,T-9030,450 ± 75,1323 – 1637 evt.,-26.1,
Slottsfjellet,P2,UBA-26233,1176 ± 32,772 – 974 evt.,Halvorsen2014
Slottsfjellet,P4,UBA-26234,1547 ± 27,433 – 589 evt.,Halvorsen2014 
Slottsfjellet,P12,UBA-26235,1696 ± 36,250 – 425 evt.,Halvorsen2014 
Slottsfjellet,P11,UBA-26236,655 ± 27,1281 – 1394 evt.,Halvorsen2014 
Slottsfjellet,P10,UBA-26237,1009 ± 26,991 – 1150 evt.,Halvorsen2014 
Slottsfjellet,P16,UBA-26238,318 ± 39,1475 – 1650 evt.,-22.4,Halvorsen2014 
Slottsfjellet,P17,UBA-26239,751 ± 31,1224 – 1291 evt.,-21.7,Halvorsen2014 
Slottsfjellet,P18,UBA-26240,539 ± 26,1325 – 1435 evt.,-22.3,Halvorsen2014 
Storgaten,P1,UBA-28240,700 ± 25,1271 – 1384 evt.,Halvorsen2015
Storgaten,P8,UBA-28241,775 ± 32,1220 – 1282 evt.,Halvorsen2015
Storgaten,P9,UBA-28242,860 ± 23,1054 – 1259 evt.,Halvorsen2015
Storgaten,P11,UBA-28243,924 ± 29,1034 – 1206 evt.,Halvorsen2015
Storgaten,P15,UBA-28244,685 ± 24,1276 – 1388 evt.,Halvorsen2015
Storgaten 16 (18),TZ2406,Ua-1752,1070 ± 100,703 – 1206 evt.,Dahlin1987
Storgaten 16 (18),247 (TZ6886),T-10967,940 ± 85,901 – 1269 evt.,-26.1,Dahlin1987
Storgaten 16 (18),254 (TZ 7067),T-10968,1175 ± 100,658 – 1030 evt.,-26.1,Dahlin1987
Storgaten 16 (18),285 (TZ7426),T-10969A,1200 ± 75,674 – 987 evt.,-26.8,Dahlin1987
Storgaten 16 (18),284 (TZ7425),T-10970A,865 ± 75,1033 – 1275 evt.,-26.7,Dahlin1987
Storgaten 16 (18),269 (TZ7520),T-10971,1570 ± 160,87 – 775 evt.,-26.1,Dahlin1987
Storgaten 16 (18),270 (TZ7521),T-10972,1115 ± 155,649 – 1219 evt.,-26.1,Dahlin1987
Storgaten 16 (18),239 (TZ6446),T-10973,635 ± 75,1264 – 1432 evt.,-26.1,Dahlin1987
Storgaten 16 (18),243 (TZ6761),T-10974,705 ± 80,1176 – 1411 evt.,-26.1,Dahlin1987
Storgaten 16 (18),253 (TZ7066),T-10975,975 ± 125,774 – 1277 evt.,-26.1,Dahlin1987
Storgaten 16,260,T-10604A,950 ± 45,999 – 1210 evt.,-27.0,Petterson1991
Storgaten 16,261,T-10606A,1015 ± 65,889 – 1175 evt.,-27.1,Petterson1991
Storgaten 16,262,T-10608A,965 ± 65,907 – 1222 evt.,-26.2,Petterson1991
Storgaten 16,263,T-10610A,880 ± 60,1037 – 1263 evt.,-25.6,Petterson1991
Storgaten 16,264,T-10612A,985 ± 55,904 – 1210 evt.,-26.7,Petterson1991
Storgaten 16,265,T-10614A,970 ± 55,991 – 1211 evt.,-26.0,Petterson1991
Storgaten 16,266,T-10616A,1190 ± 55,683 – 988 evt.,-27.0,Petterson1991
Storgaten 16,267,T-10618A,1130 ± 50,773 – 1018 evt.,-26.7,Petterson1991
Storgaten 16,268,T-10620A,1080 ± 65,773 – 1150 evt.,-26.9,Petterson1991
Storgaten 18,TZ1904,T-8032A,890 ± 140,777 – 1394 evt.,-26.0,
Storgaten 18,TZ2479,T-8034,880 ± 60,1037 – 1263 evt.,-26.1,
Storgaten 18/Conradis gate 5/7,TZ1171,T-7727,420 ± 60,1410 – 1635 evt.,-26.1,Nordman1989a
Storgaten 18/Conradis gate 5/7,TZ1493,T-7728,1260 ± 100,609 – 991 evt.,-26.1,Nordman1989a
Storgaten 18/Conradis gate 5/7,TZ1172,T-7727,1070 ± 70,773 – 1156 evt.,-26.1,Brendalsmo1989 
Storgaten 18/Conradis gate 5/7,TZ2291,T-7730,920 ± 80,994 – 1265 evt.,-21.7,Brendalsmo1989 
Storgaten 18/Conradis gate 5/7,TZ2309,T-7731,840 ± 60,1043 – 1279 evt.,-26.1,Nordman1989a
Storgaten 18/Conradis gate 5/7,TZ1627,T-7962,1150 ± 60,706 – 1020 evt.,-26.1,Nordman1989a
Storgaten 18/Conradis gate 5/7,TZ1666,T-7963A,1240 ± 70,656 – 973 evt.,-21.8,Nordman1989a
Storgaten 23/25,TØ888,T-7732,920 ± 80,994 – 1265 evt.,-19.6,Brendalsmo1989
Storgaten 23/25,TØ522,T-7733,1200 ± 130,602 – 1149 evt.,-26.1,
Storgaten 23/25,TØ585,Ua-1753,1030 ± 100,774 – 1219 evt.,
Storgaten 24/26,TR2720,T-6095,880 ± 70,1031 – 1269 evt.,-26.1,Lind1984,Eriksson1990a
Storgaten 24/26,TR2715,T-6096,1080 ± 70,773 – 1152 evt.,-24.8,Lind1984,Eriksson1990a
Storgaten 30,1B-3,TRa-3599,1030 ± 35,897 – 1151 evt.,-27.4,Petersen2024
Storgaten 30,5-4,TRa-3600,920 ± 30,1035 – 1210 evt.,-24.5,Petersen2024
Storgaten 30,6A-2,TRa-3601,990 ± 35,993 – 1157 evt.,-27.4,Petersen2024
Storgaten 30,7B-2,TRa-3602,1070 ± 30,893 – 1026 evt.,-27.9,Petersen2024
Storgaten 33/Tjømegaten 1,TY4400,T-7473,800 ± 70,1044 – 1380 evt.,-26.1,Nordman1986
Storgaten 33/Tjømegaten 1,TY4399,T-7474,720 ± 40,1225 – 1387 evt.,Nordman1986
Storgaten 33/Tjømegaten 1,TY4398,T-7475,820 ± 60,1045 – 1289 evt.,Nordman1986
Storgaten 33/Tjømegaten 1,TY4397,T-7476,800 ± 70,1044 – 1380 evt.,Nordman1986
Storgaten 33/Tjømegaten 1,TY4018,T-7477,650 ± 80,1229 – 1427 evt.,Nordman1986
Storgaten 33/Tjømegaten 1,TY4396,T-7478,1210 ± 70,670 – 977 evt.,Nordman1986
Storgaten 33/Tjømegaten 1,TY2589,T-8036A,1430 ± 100,415 – 823 evt.,-23.7,Nordman1986
Storgaten 33/Tjømegaten 1,TY4393,T-8037A,1110 ± 70,705 – 1119 evt.,-27.3,Nordman1986
Storgaten 33/Tjømegaten 1,TY4394,T-8038A,1410 ± 80,435 – 775 evt.,-22.0,Nordman1986
Storgaten 33/Tjømegaten 1,TZ4395,T-8039A,1290 ± 80,604 – 949 evt.,-23.0,Nordman1986
Storgaten 47,Tønsberg-71,nr. 1,T-1089,1090 ± 90,704 – 1159 evt.,Eriksson1990b
Storgaten 47,Tønsberg-71,nr. 2,T-1090,1070 ± 100,703 – 1206 evt.,Eriksson1990b
Storgaten 48,FTMC-RE50-1,FTMC-RE50-1,948 ± 28,1030 – 1161 evt.,Forenklet rapport: Hotell Klubben 
Storgaten 51,P1,Beta-367441,890 ± 30,1045 – 1223 evt.,Halvorsen2013
Storgaten 51,P2,Beta-367442,1650 ± 30,262 – 537 evt.,-24.6,Halvorsen2013 
Storgaten 51,P4,Beta-367443,800 ± 30,1180 – 1279 evt.,-28.4,Halvorsen2013 
Storgaten 51,P5,Beta-367444,960 ± 30,1025 – 1160 evt.,-24.2,Halvorsen2013 
Storgaten 51,PA1095,Beta-438159,820 ± 30,1175 – 1273 evt.,-23.8,Haugesten2016a
Storgaten 51,PA1562,Beta-438160,1270 ± 30,664 – 827 evt.,-26.2,Haugesten2016a
Storgaten 51,PK1955,Beta-438161,1500 ± 30,484 – 644 evt.,-24.4,Haugesten2016a
Storgaten 51,PV1104,Beta-438162,760 ± 30,1222 – 1285 evt.,-26.0,Jordahl2016
Storgaten 51,PV1067,Beta-438163,870 ± 30,1047 – 1261 evt.,-25.0,Jordahl2016
Storgaten 51,PV957,Beta-438164,930 ± 30,1032 – 1203 evt.,-23.8,Jordahl2016
Storgaten 51,PK600,Beta-438165,860 ± 30,1052 – 1263 evt.,-24.5,Jordahl2016
Storgaten 51,PK1050,Beta-438166,900 ± 30,1042 – 1219 evt.,-24.2,Haugesten 2016 
Tollbodgaten 9-11/Øvre Langgate 65,TW3127,T-6180,820 ± 50,1050 – 1284 evt.,-17.0,Flodin1986
Tollbodgaten 9-11/Øvre Langgate 65,TW3097,T-6580,720 ± 90,1054 – 1418 evt.,-19.8,Flodin1986
